customer_id,month,revenue
C133,2025-06,289.5
C155,2025-09,207.45
C154,2025-04,271.06
C109,2025-03,718.28
C195,2025-10,561.51
C160,2025-07,153.0
C164,2025-09,372.75
C180,2025-10,311.02
C202,2025-11,136.62
C177,2025-10,283.24
C147,2025-05,275.54
C178,2025-12,505.76
C200,2025-06,253.01
C186,2025-06,85.55
C133,2025-07,293.35
C114,2025-03,265.02
C160,2025-10,173.65
C136,2025-03,210.26
C192,2025-06,249.33
C193,2025-10,439.16
C185,2025-12,264.47
C195,2025-08,412.05
C144,2025-05,289.81
C183,2025-07,157.14
C127,2025-04,209.51
C198,2025-10,126.62
C202,2025-10,205.74
C124,2025-02,421.2
C159,2025-05,188.5
C154,2025-10,343.45
C109,2025-05,603.54
C107,2025-06,77.77
C143,2025-09,107.36
C162,2025-05,129.59
C197,2025-11,558.69
C132,2025-05,319.07
C142,2025-05,344.72
C179,2025-05,212.39
C159,2025-07,217.2
C173,2025-06,561.24
C117,2025-02,663.53
C139,2025-05,303.24
C152,2025-05,415.26
C193,2025-08,539.58
C129,2025-03,216.26
C128,2025-07,239.94
C201,2025-08,526.19
C154,2025-07,313.7
C171,2025-06,676.13
C177,2025-11,217.3
C164,2025-12,331.69
C171,2025-05,544.04
C118,2025-04,118.21
C119,2025-12,414.32
C178,2025-09,406.8
C198,2025-12,109.94
C118,2025-10,153.11
C109,2025-12,508.64
C184,2025-05,561.62
C143,2025-06,85.4
C163,2025-09,103.8
C157,2025-05,177.72
C170,2025-12,180.76
C176,2025-08,227.85
C137,2025-03,542.18
C130,2025-04,74.45
C125,2025-10,355.94
C116,2025-02,203.5
C182,2025-08,312.11
C133,2025-08,288.79
C121,2025-10,545.11
C176,2025-07,326.03
C162,2025-04,141.21
C119,2025-06,379.8
C185,2025-11,270.15
C155,2025-10,239.04
C191,2025-11,574.9
C143,2025-08,86.16
C134,2025-11,693.71
C108,2025-01,419.7
C125,2025-07,329.1
C174,2025-06,375.05
C133,2025-11,356.91
C195,2025-07,419.22
C117,2025-05,648.08
C170,2025-05,221.96
C101,2025-01,81.13
C156,2025-08,241.99
C194,2025-09,360.61
C101,2025-08,88.93
C157,2025-07,180.3
C178,2025-05,451.41
C183,2025-05,197.94
C197,2025-07,490.98
C111,2025-08,252.14
C109,2025-08,518.01
C200,2025-07,343.77
C114,2025-06,443.29
C152,2025-08,427.83
C112,2025-01,409.34
C201,2025-06,577.22
C101,2025-05,67.36
C132,2025-03,386.17
C171,2025-11,608.09
C135,2025-07,314.17
C196,2025-06,360.3
C106,2025-02,480.14
C181,2025-09,197.28
C107,2025-05,114.65
C151,2025-03,522.81
C171,2025-10,416.23
C199,2025-07,131.6
C156,2025-05,363.51
C110,2025-01,374.04
C191,2025-07,537.81
C131,2025-03,500.92
C176,2025-05,249.55
C136,2025-04,215.21
C109,2025-11,714.13
C201,2025-12,522.67
C183,2025-06,228.1
C197,2025-10,560.39
C163,2025-06,78.52
C192,2025-08,241.29
C133,2025-03,225.24
C132,2025-09,250.55
C127,2025-11,297.66
C178,2025-07,491.0
C136,2025-11,219.3
C108,2025-02,376.66
C160,2025-06,168.27
C201,2025-10,541.12
C136,2025-05,230.66
C128,2025-05,215.1
C174,2025-05,247.87
C195,2025-11,580.94
C199,2025-09,96.02
C193,2025-06,404.47
C171,2025-12,501.21
C115,2025-07,427.91
C121,2025-05,498.27
C194,2025-07,471.11
C176,2025-06,233.95
C125,2025-08,369.74
C196,2025-07,345.74
C147,2025-07,281.7
C170,2025-09,209.57
C106,2025-08,429.81
C132,2025-02,395.55
C102,2025-01,277.07
C140,2025-03,385.34
C109,2025-04,679.57
C145,2025-04,626.83
C117,2025-11,568.16
C127,2025-07,339.1
C159,2025-04,316.81
C136,2025-10,278.31
C101,2025-03,71.43
C157,2025-04,160.61
C170,2025-11,132.59
C182,2025-07,421.9
C117,2025-08,586.58
C118,2025-02,188.45
C188,2025-07,190.58
C121,2025-03,569.05
C174,2025-08,398.41
C180,2025-11,566.38
C157,2025-11,253.57
C152,2025-07,338.08
C164,2025-10,320.39
C191,2025-12,353.39
C164,2025-07,256.81
C155,2025-12,184.19
C128,2025-11,255.1
C174,2025-10,289.95
C104,2025-01,279.23
C195,2025-12,585.48
C132,2025-08,365.26
C125,2025-02,270.08
C111,2025-09,259.49
C163,2025-05,84.2
C109,2025-06,485.31
C122,2025-04,184.86
C138,2025-05,594.11
C193,2025-12,433.21
C127,2025-10,348.82
C144,2025-09,420.21
C191,2025-08,407.73
C169,2025-06,254.9
C138,2025-08,477.69
C172,2025-07,356.02
C127,2025-02,312.84
C169,2025-09,220.14
C159,2025-06,293.98
C168,2025-04,343.21
C200,2025-12,367.03
C137,2025-04,346.38
C111,2025-06,221.21
C145,2025-03,448.11
C166,2025-06,480.4
C132,2025-04,332.71
C106,2025-10,340.08
C147,2025-10,270.71
C136,2025-09,271.57
C113,2025-08,651.85
C119,2025-04,442.78
C120,2025-08,329.27
C197,2025-09,390.18
C170,2025-08,125.12
C145,2025-10,659.98
C161,2025-05,206.23
C136,2025-12,273.83
C111,2025-07,377.15
C106,2025-04,541.63
C113,2025-06,678.44
C131,2025-02,291.83
C177,2025-12,317.13
C121,2025-12,470.08
C191,2025-10,407.21
C203,2025-10,176.94
