month,new_mrr,expansion_mrr,contraction_mrr,churned_mrr
2025-01,27453.82,27191.38,-8275.77,-14718.11
2025-02,20674.5,25721.08,-6606.01,-16284.86
2025-03,26242.5,18630.25,-7072.2,-12174.69
2025-04,36683.75,22814.13,-11829.79,-18975.95
2025-05,32089.45,14115.71,-14075.8,-23665.55
2025-06,18575.24,28399.2,-6838.6,-15952.82
2025-07,36989.57,16443.26,-7627.2,-15360.49
2025-08,23562.8,16709.51,-10993.11,-15326.99
2025-09,40803.32,13167.28,-8652.49,-23933.02
2025-10,39433.48,16818.86,-12215.3,-17618.05
2025-11,39035.24,32016.43,-8949.97,-22876.22
2025-12,24542.61,28816.32,-10012.04,-12830.6
