bill_id,amount,due_week
BILL-2001,30942.53,7
BILL-2002,17340.0,4
BILL-2003,52297.6,7
BILL-2004,34053.52,13
BILL-2005,20916.41,6
BILL-2006,36796.82,11
BILL-2007,20073.5,4
BILL-2008,18031.42,10
BILL-2009,44054.27,12
BILL-2010,54605.03,12
BILL-2011,47635.57,13
BILL-2012,15647.11,10
BILL-2013,40128.74,10
BILL-2014,15569.76,1
BILL-2015,52630.52,9
BILL-2016,34086.0,6
BILL-2017,54134.43,11
BILL-2018,56690.64,5
BILL-2019,14549.24,3
BILL-2020,31888.32,8
BILL-2021,24781.37,4
BILL-2022,34764.15,10
BILL-2023,29239.21,6
BILL-2024,11071.65,3
BILL-2025,57922.96,6
BILL-2026,33326.5,7
BILL-2027,21440.49,5
BILL-2028,41121.5,13
BILL-2029,44999.28,13
BILL-2030,5478.54,9
