invoice_id,amount,expected_collection_week
INV-1001,77461.69,5
INV-1002,51978.7,12
INV-1003,55374.86,3
INV-1004,60887.74,4
INV-1005,64983.34,10
INV-1006,88735.63,8
INV-1007,69814.88,4
INV-1008,74654.52,10
INV-1009,20994.44,13
INV-1010,51918.5,1
INV-1011,79825.69,8
INV-1012,66536.44,10
INV-1013,66522.14,6
INV-1014,89348.41,1
INV-1015,32903.41,1
INV-1016,30540.92,10
INV-1017,41684.85,12
INV-1018,34819.44,5
INV-1019,75660.32,1
INV-1020,25895.13,7
INV-1021,10320.2,2
INV-1022,31412.82,3
INV-1023,52438.88,1
INV-1024,63920.3,3
INV-1025,49032.94,7
INV-1026,55447.74,9
INV-1027,25916.79,7
INV-1028,40057.54,1
INV-1029,26369.66,10
INV-1030,87927.28,1
INV-1031,81671.05,4
INV-1032,13948.95,13
INV-1033,41931.02,11
INV-1034,70928.93,3
INV-1035,61361.02,8
INV-1036,31102.96,4
INV-1037,78269.33,9
INV-1038,52440.41,3
INV-1039,63091.56,12
INV-1040,13017.96,11
